quote
"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again."
"It is not the face, but the expressions on it. It is not the voice, but what you say. It is not how you look in that body, but the thing you do with it. You are beautiful."
"To me, Fearless is not the absence of fear. It is not being completely afraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death."
"I wonder how many people do not get the one they want, but end up with the one they are supposed to be with."
"If we have no peace, it is because we have forgotten that we belong to each other."
Sometimes God allows what he hates to accomplish what he loves.
The heart is the toughest part of the body. Tenderness is in the hands.
"The damage was permanent; there would always be scars. But even the angriest scars faded over time until it was difficult to see them written on the skin at all, and the only thing that remained was the memory of how painful it had been."
Owning our story can be hard but not nearly as difficult as spending our lives running from it. Embracing our vulnerabilities is risky but not nearly as dangerous as giving up on love and belonging and joy the experiences that make us the most vulnerable. Only when we are brave enough to explore the darkness will we discover the infinite power of our light.
The love that moves the sun and the other stars.
The power of finding beauty in the humble things makes home happy and life lovely.
"Let us always meet each other with smile, for the smile is the beginning of love."
Love is too precious to be ashamed of.
Life is a gift. Do not forget to live it.
"Words can never fully say what we want them to say, for they fumble, spammer, and break the best porcelain. The best one can hope for is to find along the way someone to share the path, content to walk in silence, for the heart communes best when it does not try to speak."
Would you rather live one perfect day over and over or live your life with no perfect days but just decent ones?
"I love you, in my mind where my thoughts reside, in my heart where my emotions live, and in my soul where my dreams are born. I love you."
"Find the things that matter, and hold on to them, and fight for them, and refuse to let them go."
I am beginning to think that maybe it is not just how much you love someone. Maybe what matters is who you are when you are with them.
"Does he treat you with respect at all times? That is the first question. The second question is, if he is the exact same person twenty years from now that he is today, would you still want to marry him? And finally, does he inspire to be a better person? You find someone you can answer yes to all three, then you have found a good man."
"Everything happens for a reason and, something better will come along for me!"
Having an eye for beauty is not the same thing as a weakness... except possibly when it comes to you.
"If someone does not want me it is not the end of the world. But if I do not want me, the world is nothing but endings."
"Have you ever felt the longing for someone you could admire? For something, not to look down at, but up to?"
"I want you to have big dreams, big goals. I want you to strive to achieve them. But I do not want to see you beating yourself up every time you make a mistake."
"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most fighters us. We ask ourselves, Who am I to be brilliant, gorgeous, talented, fabulous? Actually, who are you not to be?"
"It was stupid to hope, she knew. But sometimes hope was all you had."
